101912168, HARTSFIELD EL,90.63, ChIJAfiUPzC-QIYR3eCak7CSwe0   
101912170, HELMS EL,75.00,ChIJXyPRw2_HQIYRLZn0xJNUwDI   
101912171, HENDERSON J EL,85.84, ChIJbUwVU2O-QIYRHaF2qD4SEKE   
101912172, HENDERSON N EL,100.00, ChIJnVHEHLK-QIYR09ZfISKUyFA   
101912173, HEROD EL,45.77,ChIJCdp-jwXCQIYR5H4oBg-gDnE  
101912174, HIGHLAND HTS EL,90.34, ChIJE7B5j8THQIYR_FWjmmjwy-E   
101912175, HOBBY EL,80.27, ChIJcdtDllXqQIYRoLNlG80iJ2M   
101912179, MCGOWEN EL,91.47, ChIJg2fuoNK7QIYRbiJHriUaRpU  
101912180, ISAACS EL,95.37, ChIJM3Ac_1y5QIYRMfbBax7xv2E   
101912181, JANOWSKI EL,95.46, ChIJUbysO124QIYRIw9MKDPfRhE 
101912182, JEFFERSON EL,87.96, ChIJpSrFCO24QIYRFqQNoI2_vnM  
101912185, KASHMERE GARDENS EL,90.85, ChIJH2yUSmS5QIYRjUolg4KgUYA   
101912186, ROBINSON EL,86.51, ChIJf5y9CaWkQIYRYPibzf_9LZI   
101912187, KELSO EL,94.93, ChIJhY3cfyC-QIYRHOdxjsRL7Qw   
101912188, KENNEDY EL,89.86, ChIJYyvlO4bHQIYR7ZIu02i8cSc   
101912192, LANTRIP EL,82.26, ChIJ53zZ7O2-QIYRdpglsoUoR6E   
101912194, LEWIS EL,76.93, ChIJ4VUgn_fLQIYR7VH-riTdx2Y   
101912195, LOCKHART EL,79.39, ChIJ-cNSwrG_QIYR0L0pmu8O7hM   
101912196, LONGFELLOW EL,73.77, ChIJfYmSsy3AQIYRneWKWS8zXYY   
101912197, LOOSCAN EL,90.91, ChIJszTF6N24QIYR_ERiC9Aw22s   
101912198, LOVE EL,88.79, ChIJU5NsGkLHQIYRojpY_BNxw70  
101912201, MACGREGOR EL,72.20, ChIJJcIYTXa_QIYRj0smgbjXIYg   
101912203, MADING EL,96.07, ChIJ81Ovc-qVQIYRSsKKgmdAD4o   
101912204, MEMORIAL EL,72.12, ChIJ7dLtptLAQIYRwer_dRWHmIo  
101912207, MONTGOMERY EL,94.56, ChIJ9fZBD6jrQIYRlQSNt4zwg6s   
101912209, NEFF ECC,94.57, ChIJpcCr9e3CQIYRE9qCGoJdjek   
101912210, NORTHLINE EL,90.59, ChIJTy_WbA-4QIYRUd99Qu1rhww   
101912212, OATES EL,91.62, ChIJm5NkzG67QIYRbZ0i4Jk4iVg   
101912213, OSBORNE EL,88.84, ChIJVfqga23IQIYRSvPr9nywFpU   
101912214, PARK PLACE EL,93.78, ChIJzabUtYa9QIYRrs9bP9kiQvE   
101912215, PARKER EL,51.91, ChIJO2mNUYHKQIYR2eeqYPGYuBg   
101912216, PATTERSON EL,90.25, ChIJSVrs1eOXQIYRoh7agw0X3W0   
101912217, PECK EL,87.62, ChIJUZOC5kC-QIYRfsKUWEHRxgw 
101912218, PILGRIM ACADEMY,97.24, ChIJHXPOfXzBQIYRmPVoCaMdMso   
101912219, PINEY POINT EL,94.62, ChIJZ8pJwwDDQIYRWriN7ppUJqU   
101912220, PLEASANTVILLE EL,94.18, ChIJfaGTS2O8QIYRvCXLxMniXD8   
101912222, PORT HOUSTON EL,98.26, ChIJOQjGvG68QIYR2lgQX2eUrYo   
101912223, PUGH EL,93.96, ChIJ-epSxgO8QIYRyoP6wlzFSP0   
101912224, RED EL,55.69, ChIJUxDKk3LqQIYRhYerMsfrnys   
101912225, REYNOLDS EL,87.69, ChIJ0dba7z6VQIYRSoe6T3uJ6lE   
101912227, MCNAMARA EL,95.72, ChIJK-Gjj3HCQIYRLw9iY_wPXAg   
