FIPS,State,County,PCT_DIABETES_ADULTS15,PCT_OBESE_ADULTS13,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_SNAP15,GROCPTH15,FFRPTH15
50013,VT,Grand Isle,7.4,26.8,0.509965041,0.234952355,0.07638793,0.571918788,0.142979697
16015,ID,Boise,9.6,22.4,63.72571563,25.61098178,6.148443417,0.293083236,0.146541618
12043,FL,Glades,13.8,33.1,56.90396861,31.09607927,6.120597291,0,0.146681335
51181,VA,Surry,14,35.3,29.91159368,10.32127474,4.549214213,0.29455081,0.147275405
48407,TX,San Jacinto,12.6,28.1,8.144462521,2.949012194,1.749888683,0.184508653,0.147606923
22023,LA,Cameron,11.7,31.5,25.54861084,5.995290014,2.244941225,0.449169037,0.149723012
47067,TN,Hancock,13,30.6,0.975796623,0.383090525,0.362469268,0.150217816,0.150217816
30003,MT,Big Horn,13.4,38.8,46.99066181,25.3264027,10.34046964,0.301159464,0.150579732
27107,MN,Norman,9.1,28.2,31.70191348,10.39438695,1.83596241,0.301250188,0.150625094
21027,KY,Breckinridge,14.8,36.6,9.023191821,4.020766658,1.417510651,0.301689461,0.15084473
29179,MO,Reynolds,12.2,32.6,44.82067368,20.51848974,9.081603301,0.304645849,0.152322925
13037,GA,Calhoun,14.4,34.4,13.75553386,5.693901507,3.913001164,0.154726907,0.154726907
19185,IA,Wayne,11.6,33.3,39.98677933,16.66061428,5.918066895,0.469116497,0.156372166
13263,GA,Talbot,16.3,33.3,22.02915403,12.91128092,5.797949909,0.156494523,0.156494523
46101,SD,Moody,11,32.9,76.72343861,30.71850616,9.149562846,0.15705984,0.15705984
20073,KS,Greenwood,12.8,32.7,46.44483489,18.27743279,6.053197238,0.474083439,0.158027813
31035,NE,Clay,9.5,32.9,46.58163405,14.52126739,3.978861176,0.791765637,0.158353127
21165,KY,Menifee,12.3,33.3,1.495962513,0.744382728,0.523291372,0.159058374,0.159058374
17129,IL,Menard,10.2,28.3,2.761661269,0.449743496,0.277045436,0.238663484,0.15910899
27055,MN,Houston,9.3,25.7,10.62304331,3.036664868,0.739768833,0.266837443,0.160102466
51111,VA,Lunenburg,13.2,27.5,0.057365011,0.018462937,0.014550715,0.401090967,0.160436387
29017,MO,Bollinger,10.9,33.1,28.4039643,10.86263379,5.119576362,0.242052606,0.161368404
08109,CO,Saguache,7,19.7,20.22692749,9.559264546,2.691763727,0.645577792,0.161394448
26131,MI,Ontonagon,13.3,33,32.60484885,12.06553757,4.84745674,0.64808814,0.162022035
40055,OK,Greer,12.9,32.7,8.829673264,3.587559406,1.860163588,0.325150382,0.162575191
50009,VT,Essex,10.2,29.8,29.97863394,13.31583209,5.98302989,0.326530612,0.163265306
29205,MO,Shelby,11.5,33.1,38.52335593,19.45663175,3.913146444,0.327439424,0.163719712
40107,OK,Okfuskee,13.4,31,19.9841329,10.61396591,1.852441565,0.246184146,0.164122764
20069,KS,Gray,9.3,36,45.41797466,13.71283188,1.371124365,0.328839198,0.164419599
31167,NE,Stanton,9.5,34.3,57.72765212,18.05040852,5.311322108,0.164771791,0.164771791
20143,KS,Ottawa,12.1,37.9,28.49584073,7.181893427,1.961092619,0.164880462,0.164880462
13201,GA,Miller,13.3,30.3,3.118873714,1.467223424,0.69544501,0.335683115,0.167841558
27051,MN,Grant,9.2,32,44.10049729,14.74478602,3.843247505,0.671591672,0.167897918
13053,GA,Chattahoochee,6.4,27.3,96.77834038,36.80378991,11.09492949,0.084480865,0.16896173
48107,TX,Crosby,9.8,27.8,4.805601238,2.309498578,1.198987718,0.508560773,0.169520258
30015,MT,Chouteau,8.1,26.2,71.40157345,34.80384023,11.54786385,0.33932813,0.169664065
47121,TN,Meigs,14.2,27.9,1.508531129,0.604162966,0.462012206,0.341851124,0.170925562
40029,OK,Coal,12.9,35.6,27.31069897,13.06573258,2.898875358,0.516617875,0.172205958
19009,IA,Audubon,11.7,31.2,7.554671538,2.646700965,0.912323006,0.172592337,0.172592337
47087,TN,Jackson,13.8,34.7,0.013780131,0.00584486,0.002364214,0.2593361,0.172890733
40149,OK,Washita,12.6,40.6,38.83116512,14.39204168,2.874775429,0.173205162,0.173205162
22007,LA,Assumption,14.4,34.8,38.87313789,14.31355541,6.368228318,0.217070418,0.173656334
47057,TN,Grainger,14.4,35,0,0,0,0.174947516,0.174947516
13183,GA,Long,9.8,31.4,10.52594813,4.529512931,1.785379035,0.0584351,0.175305323
26085,MI,Lake,13,32,16.02973816,8.286252188,3.364837395,0.264526938,0.176351292
30007,MT,Broadwater,8.8,30.4,25.51802267,7.289552486,1.387876308,0.176460208,0.176460208
46087,SD,McCook,9,28.5,32.39950136,10.41771243,1.85134313,0.708089927,0.177022482
08011,CO,Bent,7,26.5,25.86261095,12.10155519,5.373505254,0.355239787,0.177619893
21079,KY,Garrard,12.8,30.5,0.722523383,0.244208967,0.250720159,0.059319,0.177957053
01129,AL,Washington,17.8,40.2,8.411904598,3.583565886,1.322521661,0.118807176,0.178210764
20201,KS,Washington,12.7,30.7,50.16777777,16.73297673,3.275217182,0.893176134,0.178635227
13301,GA,Warren,15.8,32,2.087917755,1.298612266,0.595200873,0.18115942,0.18115942
51025,VA,Brunswick,12,35.9,20.10744923,3.950682891,2.486646978,0.121226815,0.181840223
