Name,Location,Percent in Poverty,Lat,Long,Google Place ID
Mitchell Elementary School,Houston,87.57,29.6384206,-95.3619705,ChIJKYe3MAOVQIYRv1_kNEHeu_M
Petersen Elementary School,Houston,95.06,29.61745059999999,-95.42494930000001,ChIJFRGnORDrQIYR4KDjg4KiCGc
Ed White Elementary,Houston,83.15,29.6961811,-95.54275809999999,ChIJmefng7_CQIYRjhhY9TUh6kg
Benbrook Elementary School,Houston,96.9,29.826859499999998,-95.48130520000001,ChIJE9NQxdnFQIYRbveeFMO1Jag
Scroggins Elementary School,Houston,91.03,29.781021600000003,-95.29844840000001,ChIJ74noTve7QIYRbgTAMUD9zkI
Foerster Elementary School,Houston,96.78,29.638956099999998,-95.4985216,ChIJg1FcCZjpQIYRV7bj6-m0s0k
Ashford Elementary School,Houston,64.86,29.7468293,-95.5975127,ChIJicU0tI7cQIYRJZsYEnAsJe0
Askew Elementary School,Houston,68.66,29.7518687,-95.57707109999998,ChIJScJeVrvcQIYR3K8g_wfRHts
Shadowbriar Elementary School,Houston,69.68,29.737494800000004,-95.5987075,ChIJXVUih_TcQIYR5esT2yxng6s
Tijerina Elementary School,Houston,91.69,29.740839,-95.310547,ChIJK2aJU52-QIYRfuiUvllXusI
Sanchez Elementary School,Houston,96.03,29.7024333,-95.28495490000002,ChIJAz7bNJS9QIYRaSUBvimU0uc
Garcia Elementary School,Houston,92.55,29.8491282,-95.3484384,ChIJdyi-bsy5QIYRaBX1DTrgA9Q
Valley West Elementary School,Houston,90.16,29.663410499999998,-95.52618590000002,ChIJUcj0Pi7oQIYRqOZdO22uQjs
Herrera Elementary School,Houston,98.65,29.822677399999996,-95.3668912,ChIJn0hXJFm4QIYRqXw0LG09NMw
Cage Elementary School,Houston,90.79,29.7344436,-95.3336196,ChIJRzBsfPO-QIYRTm9YCNUyWuk
Clemente Martinez Elementary,Houston,96.86,29.7906752,-95.3597608,ChIJa9GqNqfcQIYRGXbaafaGcXw
Crespo Elementary School,Houston,92.64,29.699185800000002,-95.2883635,ChIJg3PIeZO9QIYRwKON-wf2mZc
Gallegos Elementary School,Houston,96.39,29.733915999999997,-95.2931811,ChIJw2iVZjS8QIYRNMte8tpH-Mk
Carrillo Elementary School,Houston,86.78,29.728374300000002,-95.3107776,ChIJ9f-rWNW9QIYROAGv3-TXdo4
Benavidez Elementary School,Houston,98.54,29.716944800000004,-95.49201140000001,ChIJ35795TPCQIYRgPe7iKJv7VM
Davila Elementary School,Houston,93.33,29.713973,-95.284943,ChIJsVBWQrm9QIYR4HnqcXsAbAg
R Martinez Elementary School,Houston,95.86,29.7732087,-95.2968026,ChIJvxtlsgm8QIYRHxHhChZnrEw
A. A. Milne Elementary School,Houston,92.97,29.661242600000005,-95.515351,ChIJG31uwc3pQIYRuBxXWh3u2fI   
