School Name,Location,Percent in Poverty,Lat,Long,Google Place ID
Odom Elementary School,Austin,80.89,30.20588220000001,-97.7893442,ChIJy-xellVLW4YRUDZRtFSwcqo
Winn Elementary School,Austin,90.63,30.3148825,-97.6649793,ChIJLe2PCtDJRIYRdkZfF0342aw
Sunset Valley Elementary School,Austin,63.52,30.2278785,-97.8066874,ChIJtW4X3z9LW4YRccOvHXz6lUk
Graham Elementary School,Austin,86.91,30.372360999999998,-97.668859,ChIJd7k2hD3JRIYROthtiEzy2UY
Linder Elementary School,Austin,91.18,30.22420829999999,-97.7379358,ChIJZwIMS2G0RIYR8o09oo4EYc4
Katherine A Cook Elementary School,Austin,92.52,30.37734369999999,-97.70464559999999,ChIJmSeVeeTLRIYRtLKKbSFRzpI
Josephine Houston Elementary School,Austin,93.54,30.197253600000003,-97.7550395,ChIJ238BC2WzRIYR8wegM_1aUNE
Hart Elementary School,Austin,97.39,30.342450699999997,-97.6887123,ChIJMfYAeoPJRIYRcY0DO8qyZm8
Pickle Elementary School,Austin,95.47,30.33340789999999,-97.6938273,ChIJlXGP24jJRIYRrKCKtoAGCto
Mc Bee Elementary School,Austin,93.01,30.38333609999999,-97.6910859,ChIJB_fV1FDJRIYRcCKT4Hc53Zo
Williams Elementary School,Austin,73.45,30.180959,-97.791461,ChIJH5SZ48lMW4YRpPJApE8V1ak
Langford Elementary School,Austin,94.29,30.182306,-97.7633055,ChIJg5ri6z-zRIYRgRrSjEMAvw4
Boone Elementary School,Austin,42.68,30.20372260000001,-97.8402221,ChIJB8loYYhLW4YRGR2JJ9I-1mk
Palm Elementary School,Austin,83.54,30.164854499999997,-97.7437627,ChIJL6DMHwGzRIYRQ9ATIwdKr2Y
Kocurek Elementary School,Austin,60.95,30.17802149999999,-97.83501059999999,ChIJwUxQBF5MW4YRWdbtEmCmJTc
Casey Elementary School,Austin,54.22,30.1768766,-97.8147005,ChIJl5CCVexMW4YRPPGQWcCskGA
Rodriguez Elementary School,Austin,96.83,30.20065839999999,-97.7472497,ChIJIzQ6HXmzRIYRp32W1Im_st8
Widen Elementary School,Austin,93.41,30.188626399999997,-97.74015920000001,ChIJb26ruJ2zRIYRrfjVVnyDuNM
