School Name,Location,Closest Store,Store Address,Driving Distance (miles),Bus Distance (miles),Walking Distance (miles),Percent in Poverty,Zip Code,Poverty Groups
Lorenzo De Zavala Elementary School,Dallas,Cox Farms Market - Dallas,"778 Fort Worth Ave, Dallas, TX 75208",1.1,1.3,1.1,97.4,75212,90-100
"J. P. Starks Math, Science and Technology Vanguard",Dallas,Save A Lot,"2611 S Lancaster Rd, Dallas, TX 75216",2.5,3.2,2.4,99.43,75216,90-100
Ronald E McNair Elementary School,Dallas,Aldi,"8034 Chrysalis Dr, Dallas, TX 75237",0.8,0.8,0.8,94.83,75237,90-100
Eladio R. Martinez Learning Center,Dallas,Jerry's Supermarket,"1719 Singleton Blvd, Dallas, TX 75212",3.7,4.0,3.6,94.77,75212,90-100
Frederick Douglass Elementary School,Dallas,Malone's Cost Plus,"333 S St Augustine Dr, Dallas, TX 75217",3.7,4.2,3.3,90.85,75217,90-100
Solar Preparatory School for Boys,Dallas,Fiesta Mart,"5334 Ross Ave, Dallas, TX 75206",0.3,0.4,0.3,93.09,75206,90-100
Onesimo Hernandez Elementary School,Dallas,Kroger,"4901 Maple Ave, Dallas, TX 75235",0.7,0.7,0.7,83.66,75235,80-89
Eduardo Mata Elementary School,Dallas,Tom Thumb,"7331 Gaston Ave, Dallas, TX 75214",0.5,0.4,0.4,55.53,75214,50-59
Julian T. Saldivar Elementary School,Dallas,Fiesta Mart,"9727 Webb Chapel Rd, Dallas, TX 75220",0.8,0.8,0.8,94.6,75220,90-100
Maria Moreno Elementary School,Dallas,Aldi,"2440 W Illinois Ave, Dallas, TX 75233",0.4,0.4,0.4,92.22,75224,90-100
Pleasant Grove Elementary School,Dallas,Fiesta Mart,"10121 E Lake June Rd, Dallas, TX 75217",1.3,1.0,0.9,97.99,75217,90-100
Mary McLeod Bethune Elementary School,Dallas,Grocery Clearance Center,"3107 S Cockrell Hill Rd, Dallas, TX 75236",2.4,2.7,2.2,89.75,75211,90-100
Louise Wolff Kahn Elementary School,Dallas,Aldi,"2505 Fort Worth Ave, Dallas, TX 75211",1.4,1.6,1.4,79.79,75211,80-89
Gilbert Cuellar Sr. Elementary School,Dallas,Fiesta Mart,"10121 E Lake June Rd, Dallas, TX 75217",1.6,1.6,1.6,96.51,75217,90-100
Thomas Tolbert Elementary School,Dallas,Fiesta Mart,"2225 W Ledbetter Dr, Dallas, TX 75224",2.7,3.3,2.5,83.0,75233,80-89
Leonides Gonzalez Cigarroa MD Elementary School,Dallas,El Rancho Supermercado,"10020 Marsh Ln #200, Dallas, TX 75254",0.7,0.7,0.7,98.28,75220,90-100
Jerry R. Junkins Elementary School,Dallas,Albertsons,"2150 N Josey Ln, Carrollton, TX 75006",2.5,2.5,2.3,74.47,75006,70-79
Anne Frank Elementary School,Dallas,Tom Thumb,"14999 Preston Rd, Dallas, TX 75254",1.6,1.6,1.3,78.51,75254,70-79
Cesar Chavez Learning Center,Dallas,Kroger,"4241 Capitol Ave, Dallas, TX 75204",0.6,1.0,0.6,96.47,75204,90-100
"Esperanza ""Hope"" Medrano Elementary School",Dallas,Kroger,"4901 Maple Ave, Dallas, TX 75235",1.1,0.9,0.8,92.04,75219,90-100
Highland Meadows Elementary School,Dallas,Kroger,"10677 E NW Hwy, Dallas, TX 75238",1.4,1.4,1.3,96.79,75238,90-100
N.W. Harllee Early Childhood Center,Dallas,Supermercado Monterrey,"300 E Jefferson Blvd, Dallas, TX 75203",1.2,1.4,1.0,93.33,75203,90-100
Lee A. McShan Jr. Elementary School,Dallas,Tom Thumb,"10455 N Central Expy, Dallas, TX 75231",0.7,0.7,0.7,98.41,75231,90-100
Celestino Mauricio Soto Jr. Elementary School,Dallas,El Rancho Supermercado,"4450 W Jefferson Blvd, Dallas, TX 75211",0.2,0.2,0.2,94.44,75211,90-100
Felix G Botello Elementary School,Dallas,Super Mercado Monterrey,"300 E Jefferson Blvd, Dallas, TX 75203",0.3,0.2,0.2,96.27,75203,90-100
Wilmer-Hutchins Elementary School,Dallas,Save You More,"3540 Simpson Stuart Rd, Dallas, TX 75241",3.3,12.5,3.2,82.13,75241,80-89
Thelma Elizabeth Page Richardson Elementary School,Dallas,Fiesta Mart,"2951 S Buckner Blvd, Dallas, TX 75227",2.4,1.7,1.5,96.21,75217,90-100
Ebby Halliday Elementary School,Dallas,Malone's Cost Plus,"333 S St Augustine Dr, Dallas, TX 75217",3.0,3.0,3.0,96.26,75217,90-100
